run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.6955833435058594, 0.6955833435058594, 0.6955833435058594, 0.7637666463851929, 0.9365000128746033, 0.9365000128746033, 0.9365000128746033, 0.9365000128746033, 0.9521166682243347, 0.9521166682243347, 0.9521166682243347, 0.9679333567619324, 0.9679333567619324, 0.9679333567619324, 0.9679333567619324, 0.9689333438873291, 0.9689333438873291, 0.9689333438873291, 0.9689333438873291, 0.9689333438873291]"
2,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.46316665410995483, 0.7372833490371704, 0.7660999894142151, 0.7660999894142151, 0.7660999894142151, 0.7660999894142151, 0.8051833510398865, 0.8051833510398865, 0.8582166433334351, 0.8641999959945679, 0.8641999959945679, 0.8641999959945679, 0.8641999959945679, 0.8641999959945679, 0.8641999959945679, 0.8714166879653931, 0.8714166879653931, 0.9163333177566528, 0.9163333177566528, 0.9163333177566528]"
3,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.4659999907016754, 0.555233359336853, 0.6406499743461609, 0.6406499743461609, 0.6406499743461609, 0.6406499743461609, 0.6406499743461609, 0.7140499949455261, 0.7140499949455261, 0.7140499949455261, 0.7140499949455261, 0.7140499949455261, 0.7140499949455261, 0.7140499949455261, 0.7763833403587341, 0.7763833403587341, 0.8200333118438721, 0.8200333118438721, 0.8200333118438721, 0.8483166694641113]"
4,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.8098166584968567, 0.8112333416938782, 0.8649166822433472, 0.9261833429336548, 0.9261833429336548, 0.9261833429336548, 0.9261833429336548, 0.9451500177383423, 0.9451500177383423, 0.9504166841506958, 0.964033305644989, 0.964033305644989, 0.9746000170707703, 0.9746000170707703, 0.9746000170707703, 0.9746000170707703, 0.9746000170707703, 0.9760000109672546, 0.9760666489601135, 0.9760666489601135]"
5,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.9623000025749207, 0.9763333201408386, 0.98089998960495, 0.98089998960495, 0.98089998960495, 0.98089998960495, 0.98089998960495, 0.98089998960495, 0.98089998960495, 0.9864833354949951, 0.9864833354949951, 0.9864833354949951, 0.9963333606719971, 0.9963333606719971, 0.9963333606719971, 0.996833324432373, 0.996833324432373, 0.996833324432373, 0.9990500211715698, 0.9990500211715698]"
6,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.3571999967098236, 0.9412999749183655, 0.9412999749183655, 0.9687833189964294, 0.9687833189964294, 0.9687833189964294, 0.9687833189964294, 0.980650007724762, 0.980650007724762, 0.980650007724762, 0.9807833433151245, 0.9807833433151245, 0.9901833534240723, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036]"
7,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.4097999930381775, 0.4097999930381775, 0.8586500287055969, 0.8586500287055969, 0.8586500287055969, 0.8586500287055969, 0.8586500287055969, 0.8818666934967041, 0.8833500146865845, 0.8953499794006348, 0.8953499794006348, 0.9039999842643738, 0.9203166961669922, 0.9203166961669922, 0.9526666402816772, 0.958133339881897, 0.9652500152587891, 0.9652500152587891, 0.9652500152587891, 0.9652500152587891]"
8,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.606416642665863, 0.6089666485786438, 0.8516333103179932, 0.8838000297546387, 0.8838000297546387, 0.9001333117485046, 0.9001333117485046, 0.9050833582878113, 0.966949999332428, 0.966949999332428, 0.966949999332428, 0.9809499979019165, 0.9809499979019165, 0.9809499979019165, 0.9809499979019165, 0.9809499979019165, 0.9809499979019165, 0.9832000136375427, 0.9832000136375427, 0.9832000136375427]"
9,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.6739166378974915, 0.7260666489601135, 0.7260666489601135, 0.784250020980835, 0.784250020980835, 0.784250020980835, 0.8398833274841309, 0.8398833274841309, 0.8398833274841309, 0.8398833274841309, 0.8514666557312012, 0.8593999743461609, 0.9032999873161316, 0.9398000240325928, 0.9398000240325928, 0.9398000240325928, 0.9398000240325928, 0.9398000240325928, 0.9398000240325928, 0.962066650390625]"
10,10,20,20,fps,single_point_co,inversion_mutation,0.9,0.3,,"[0.8600666522979736, 0.8805666565895081, 0.9235833287239075, 0.9522166848182678, 0.9713500142097473, 0.9714166522026062, 0.9714166522026062, 0.9714166522026062, 0.9714166522026062, 0.9714166522026062, 0.9714166522026062, 0.9729833602905273, 0.9729833602905273, 0.9729833602905273, 0.9810000061988831, 0.9810000061988831, 0.9810000061988831, 0.9851333498954773, 0.985883355140686, 0.9931333065032959]"
1,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.5789499878883362, 0.5789499878883362, 0.6327499747276306, 0.6327499747276306, 0.6456166505813599, 0.7044833302497864, 0.7044833302497864, 0.7307500243186951, 0.7307500243186951, 0.8116833567619324, 0.8116833567619324, 0.8610333204269409, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632, 0.8703166842460632]"
