run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.37586668133735657, 0.37586668133735657, 0.6905500292778015, 0.6968666911125183, 0.7605000138282776, 0.8118000030517578, 0.8118000030517578, 0.8525500297546387, 0.8861500024795532, 0.9025833606719971, 0.9025833606719971, 0.9318000078201294, 0.9326333403587341, 0.9355499744415283, 0.9372333288192749, 0.9409999847412109, 0.942716658115387, 0.9699000120162964, 0.9777166843414307, 0.9779000282287598]"
2,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.5565666556358337, 0.6022833585739136, 0.6245499849319458, 0.6482833623886108, 0.7220166921615601, 0.7220166921615601, 0.7771666646003723, 0.7914333343505859, 0.8188833594322205, 0.8188833594322205, 0.8429999947547913, 0.8595333099365234, 0.8710833191871643, 0.9077833294868469, 0.9088000059127808, 0.9164333343505859, 0.9164333343505859, 0.9393500089645386, 0.9393500089645386, 0.9393500089645386]"
3,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.4415166676044464, 0.4415166676044464, 0.5583333373069763, 0.757016658782959, 0.7883166670799255, 0.8519999980926514, 0.9325833320617676, 0.9326666593551636, 0.9354000091552734, 0.945983350276947, 0.9517166614532471, 0.9517166614532471, 0.9718166589736938, 0.9781333208084106, 0.9781333208084106, 0.9784333109855652, 0.9828000068664551, 0.9838500022888184, 0.9838500022888184, 0.9882166385650635]"
4,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.43726667761802673, 0.600933313369751, 0.762499988079071, 0.8220000267028809, 0.8518166542053223, 0.8773333430290222, 0.8773333430290222, 0.9044833183288574, 0.9044833183288574, 0.941100001335144, 0.9629999995231628, 0.9629999995231628, 0.9629999995231628, 0.9719499945640564, 0.9719499945640564, 0.9719499945640564, 0.978683352470398, 0.9817666411399841, 0.9817666411399841, 0.9817666411399841]"
5,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.7886499762535095, 0.8385666608810425, 0.9436166882514954, 0.9655166864395142, 0.9721999764442444, 0.9763000011444092, 0.9833499789237976, 0.9833499789237976, 0.9856333136558533, 0.9856333136558533, 0.9931333065032959, 0.9931333065032959, 0.9931333065032959, 0.9931333065032959, 0.9931333065032959, 0.9932666420936584, 0.9952666759490967, 0.9973666667938232, 0.9973666667938232, 0.9973666667938232]"
6,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.5907166600227356, 0.7142666578292847, 0.7142666578292847, 0.7142666578292847, 0.7142666578292847, 0.7142666578292847, 0.7142666578292847, 0.7425833344459534, 0.760200023651123, 0.760200023651123, 0.8497833609580994, 0.8497833609580994, 0.8497833609580994, 0.8497833609580994, 0.8842833042144775, 0.8842833042144775, 0.9043999910354614, 0.9096500277519226, 0.9390666484832764, 0.9500333070755005]"
7,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.3452500104904175, 0.6071000099182129, 0.6655833125114441, 0.6893500089645386, 0.7129499912261963, 0.7698833346366882, 0.7698833346366882, 0.8180666565895081, 0.8180666565895081, 0.826533317565918, 0.8447666764259338, 0.8447666764259338, 0.8473333120346069, 0.8611999750137329, 0.9337166547775269, 0.9337166547775269, 0.9521166682243347, 0.9521166682243347, 0.9521166682243347, 0.9559500217437744]"
8,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.503849983215332, 0.503849983215332, 0.7153833508491516, 0.8132500052452087, 0.8132500052452087, 0.8736000061035156, 0.8736000061035156, 0.8736000061035156, 0.8955166935920715, 0.8955166935920715, 0.9060166478157043, 0.9060166478157043, 0.9127333164215088, 0.9187333583831787, 0.9227666854858398, 0.9518666863441467, 0.9554499983787537, 0.9581166505813599, 0.963450014591217, 0.96670001745224]"
9,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.2852333188056946, 0.698033332824707, 0.7261333465576172, 0.7261333465576172, 0.7904000282287598, 0.8181166648864746, 0.8181166648864746, 0.8426166772842407, 0.8465666770935059, 0.8561499714851379, 0.9052333235740662, 0.9449833035469055, 0.9449833035469055, 0.9449833035469055, 0.9507833123207092, 0.9516500234603882, 0.9701499938964844, 0.9701499938964844, 0.9701499938964844, 0.9867166876792908]"
10,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.8297666907310486, 0.8308666944503784, 0.9262666702270508, 0.9262666702270508, 0.9518166780471802, 0.9518166780471802, 0.9701499938964844, 0.9701499938964844, 0.9701499938964844, 0.9701499938964844, 0.9812333583831787, 0.9885833263397217, 0.9917333126068115, 0.9932500123977661, 0.9951000213623047, 0.9976666569709778, 0.9976666569709778, 0.997866690158844, 0.997866690158844, 0.9981666803359985]"
