run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.6596166491508484, 0.7007333040237427, 0.7616000175476074, 0.8209499716758728, 0.8213499784469604, 0.8516499996185303, 0.8518499732017517, 0.8954333066940308, 0.927299976348877, 0.9463833570480347, 0.9492166638374329, 0.9582499861717224, 0.9582499861717224, 0.9663333296775818, 0.9663333296775818, 0.9678166508674622, 0.9843999743461609, 0.9843999743461609, 0.9843999743461609, 0.9864833354949951]"
2,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.7280166745185852, 0.7702000141143799, 0.8068666458129883, 0.8068666458129883, 0.808483362197876, 0.826533317565918, 0.8848999738693237, 0.8848999738693237, 0.8848999738693237, 0.9002333283424377, 0.9002333283424377, 0.9018999934196472, 0.9020333290100098, 0.935366690158844, 0.935366690158844, 0.955133318901062, 0.955133318901062, 0.9674166440963745, 0.9747666716575623, 0.9751499891281128]"
3,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.28706666827201843, 0.34476667642593384, 0.3951166570186615, 0.44013333320617676, 0.44013333320617676, 0.44013333320617676, 0.47743332386016846, 0.47743332386016846, 0.5183666944503784, 0.5964166522026062, 0.5964166522026062, 0.6480666399002075, 0.7182333469390869, 0.7182333469390869, 0.7182499766349792, 0.7406499981880188, 0.7418000102043152, 0.7789499759674072, 0.7789499759674072, 0.7902666926383972]"
4,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.6876166462898254, 0.8843666911125183, 0.9321833252906799, 0.9754999876022339, 0.9754999876022339, 0.9780833125114441, 0.979616641998291, 0.9889333248138428, 0.990933358669281, 0.9914833307266235, 0.9938499927520752, 0.9939333200454712, 0.9950500130653381, 0.9959666728973389, 0.997083306312561, 0.9972166419029236, 0.9972166419029236, 0.9972166419029236, 0.998116672039032, 0.998116672039032]"
5,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.45536667108535767, 0.658133327960968, 0.658133327960968, 0.7036833167076111, 0.7541000247001648, 0.783050000667572, 0.8277666568756104, 0.8277666568756104, 0.8434333205223083, 0.8554666638374329, 0.8755999803543091, 0.87663334608078, 0.923966646194458, 0.923966646194458, 0.9284999966621399, 0.9284999966621399, 0.954883337020874, 0.9699333310127258, 0.9764500260353088, 0.9764500260353088]"
6,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.7342166900634766, 0.8773499727249146, 0.9339666962623596, 0.9558500051498413, 0.9558500051498413, 0.9558833241462708, 0.9602000117301941, 0.9611333608627319, 0.9611333608627319, 0.9751333594322205, 0.9782000184059143, 0.9883833527565002, 0.9883833527565002, 0.989383339881897, 0.9902833104133606, 0.9940999746322632, 0.9971333146095276, 0.9972000122070312, 0.9973833560943604, 0.9987333416938782]"
7,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.684249997138977, 0.8371833562850952, 0.8371833562850952, 0.8656666874885559, 0.8664500117301941, 0.8666999936103821, 0.8859999775886536, 0.9164166450500488, 0.9182666540145874, 0.9474499821662903, 0.9543666839599609, 0.9543666839599609, 0.960016667842865, 0.9613500237464905, 0.9668833613395691, 0.972083330154419, 0.9776333570480347, 0.9880499839782715, 0.9880499839782715, 0.9890499711036682]"
8,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.8094333410263062, 0.8708500266075134, 0.8933833241462708, 0.9021999835968018, 0.9472833275794983, 0.9487500190734863, 0.9487500190734863, 0.9510999917984009, 0.9558333158493042, 0.9695500135421753, 0.9815499782562256, 0.986299991607666, 0.986299991607666, 0.9865833520889282, 0.9927166700363159, 0.9927166700363159, 0.9927166700363159, 0.9975500106811523, 0.9975500106811523, 0.9981833100318909]"
9,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.49513334035873413, 0.699566662311554, 0.699566662311554, 0.7785500288009644, 0.8365333080291748, 0.8733000159263611, 0.8884833455085754, 0.8985000252723694, 0.9203000068664551, 0.9642999768257141, 0.9765499830245972, 0.9803500175476074, 0.9804333448410034, 0.980650007724762, 0.9931166768074036, 0.9931166768074036, 0.9931166768074036, 0.9971833229064941, 0.998449981212616, 0.9989500045776367]"
10,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.5730999708175659, 0.7194833159446716, 0.7316166758537292, 0.7404833436012268, 0.808650016784668, 0.808650016784668, 0.808650016784668, 0.8292833566665649, 0.8378333449363708, 0.9108166694641113, 0.9108166694641113, 0.9671666622161865, 0.9824333190917969, 0.9824333190917969, 0.9824333190917969, 0.9916666746139526, 0.9951833486557007, 0.9952499866485596, 0.996150016784668, 0.9964333176612854]"
11,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.40470001101493835, 0.7512500286102295, 0.7512500286102295, 0.8007500171661377, 0.8359000086784363, 0.8648999929428101, 0.8648999929428101, 0.8938999772071838, 0.893916666507721, 0.9321666955947876, 0.9513499736785889, 0.9513499736785889, 0.9513499736785889, 0.9665833115577698, 0.98089998960495, 0.9824166893959045, 0.992900013923645, 0.9942166805267334, 0.9942833185195923, 0.9949333071708679]"
12,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.9101333618164062, 0.9193166494369507, 0.9507166743278503, 0.9576666951179504, 0.9644500017166138, 0.9771666526794434, 0.9855499863624573, 0.9873833060264587, 0.9890666604042053, 0.9944333434104919, 0.9976166486740112, 0.9976833462715149, 0.9991833567619324, 0.9992333054542542, 0.9996833205223083, 0.999833345413208, 0.9998666644096375, 0.9998833537101746, 0.999916672706604, 0.999916672706604]"
13,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.8736833333969116, 0.9015166759490967, 0.9269999861717224, 0.9448166489601135, 0.9455833435058594, 0.9506166577339172, 0.9601166844367981, 0.9601166844367981, 0.9648500084877014, 0.9714833498001099, 0.9745333194732666, 0.9812833070755005, 0.9828166961669922, 0.9861999750137329, 0.9888833165168762, 0.9889166951179504, 0.9889166951179504, 0.992900013923645, 0.992900013923645, 0.9940833449363708]"
14,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.880466639995575, 0.9301000237464905, 0.9301000237464905, 0.944350004196167, 0.944350004196167, 0.9601166844367981, 0.9601166844367981, 0.9635833501815796, 0.9648666381835938, 0.9660666584968567, 0.9756166934967041, 0.984333336353302, 0.989133358001709, 0.9905499815940857, 0.9958166480064392, 0.9965166449546814, 0.9979000091552734, 0.9988333582878113, 0.9988333582878113, 0.9991000294685364]"
15,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,4,"[0.4275333285331726, 0.5397999882698059, 0.5397999882698059, 0.5529166460037231, 0.6185333132743835, 0.6295666694641113, 0.6380666494369507, 0.676800012588501, 0.7436333298683167, 0.7865833044052124, 0.7975999712944031, 0.8476333618164062, 0.856083333492279, 0.8762000203132629, 0.9319166541099548, 0.9319166541099548, 0.9453999996185303, 0.9603666663169861, 0.9644333124160767, 0.97243332862854]"
