run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.520966649055481, 0.8256333470344543, 0.8726666569709778, 0.8755999803543091, 0.930400013923645]"
2,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.5569666624069214, 0.5575000047683716, 0.5690000057220459, 0.7226333618164062, 0.7226333618164062]"
3,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.3711666762828827, 0.5481166839599609, 0.5676833391189575, 0.6456000208854675, 0.6480833292007446]"
4,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.8169833421707153, 0.8779833316802979, 0.8779833316802979, 0.9154999852180481, 0.9154999852180481]"
1,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,2,"[0.5535500049591064, 0.553683340549469, 0.7488166689872742, 0.809333324432373, 0.809333324432373]"
2,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,2,"[0.6256999969482422, 0.8153333067893982, 0.8678666949272156, 0.8932833075523376, 0.9003166556358337]"
3,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,2,"[0.535966694355011, 0.5563499927520752, 0.6155666708946228, 0.6155666708946228, 0.6155666708946228]"
4,4,20,5,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,2,"[0.3313833475112915, 0.3684999942779541, 0.3684999942779541, 0.3835499882698059, 0.3835499882698059]"
1,4,20,5,fps,arithmetic_xo,arithmetic_mutation,0.9,0.1,,"[0.763533353805542, 0.7953333258628845, 0.7953333258628845, 0.7994666695594788, 0.8155666589736938]"
2,4,20,5,fps,arithmetic_xo,arithmetic_mutation,0.9,0.1,,"[0.6283833384513855, 0.7384666800498962, 0.7573166489601135, 0.8102166652679443, 0.8102166652679443]"
3,4,20,5,fps,arithmetic_xo,arithmetic_mutation,0.9,0.1,,"[0.7752333283424377, 0.8090500235557556, 0.8729000091552734, 0.8770999908447266, 0.8770999908447266]"
4,4,20,5,fps,arithmetic_xo,arithmetic_mutation,0.9,0.1,,"[0.8831999897956848, 0.9111666679382324, 0.930816650390625, 0.930816650390625, 0.930816650390625]"
1,4,20,5,tournament_sel,single_point_co,inversion_mutation,0.9,0.1,4,"[0.7135666608810425, 0.8651666641235352, 0.8654500246047974, 0.8670666813850403, 0.8692666888237]"
2,4,20,5,tournament_sel,single_point_co,inversion_mutation,0.9,0.1,4,"[0.7652999758720398, 0.8000166416168213, 0.8000166416168213, 0.9311000108718872, 0.9311000108718872]"
3,4,20,5,tournament_sel,single_point_co,inversion_mutation,0.9,0.1,4,"[0.4435499906539917, 0.4435499906539917, 0.4900999963283539, 0.4900999963283539, 0.5552166700363159]"
4,4,20,5,tournament_sel,single_point_co,inversion_mutation,0.9,0.1,4,"[0.6706666946411133, 0.8378499746322632, 0.9115166664123535, 0.9144833087921143, 0.9144833087921143]"
