run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.520966649055481, 0.8256333470344543, 0.8726666569709778, 0.8755999803543091, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.930400013923645, 0.9339500069618225, 0.9612166881561279, 0.9612166881561279, 0.968833327293396, 0.9690333604812622, 0.9891166687011719, 0.9891166687011719, 0.9950000047683716]"
2,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.6210333108901978, 0.7003833055496216, 0.7119333148002625, 0.7667833566665649, 0.7668333053588867, 0.8127333521842957, 0.8149166703224182, 0.8232166767120361, 0.8239166736602783, 0.8242166638374329, 0.8840500116348267, 0.8840500116348267, 0.8840500116348267, 0.8840500116348267, 0.8903499841690063, 0.8919333219528198, 0.9277166724205017, 0.9277166724205017, 0.9449666738510132, 0.9545000195503235]"
3,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.8732666373252869, 0.8732666373252869, 0.888866662979126, 0.8998500108718872, 0.8999999761581421, 0.9008166790008545, 0.9148333072662354, 0.9148333072662354, 0.9152500033378601, 0.9153333306312561, 0.9153333306312561, 0.9154000282287598, 0.9359999895095825, 0.9359999895095825, 0.9550666809082031, 0.9550666809082031, 0.9599666595458984, 0.9745333194732666, 0.9745333194732666, 0.9745333194732666]"
4,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.8491833209991455, 0.8716833591461182, 0.8716833591461182, 0.8835166692733765, 0.8835166692733765, 0.8835999965667725, 0.9260666370391846, 0.9260666370391846, 0.9412166476249695, 0.9580333232879639, 0.9580333232879639, 0.9681333303451538, 0.9697999954223633, 0.970216691493988, 0.973550021648407, 0.9735999703407288, 0.9768999814987183, 0.9768999814987183, 0.9769166707992554, 0.9867333173751831]"
5,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.5286833047866821, 0.5286833047866821, 0.5506666898727417, 0.5626333355903625, 0.5627166628837585, 0.5627166628837585, 0.5629500150680542, 0.572350025177002, 0.572350025177002, 0.572350025177002, 0.5744666457176208, 0.5762666463851929, 0.5793333053588867, 0.5793333053588867, 0.5947499871253967, 0.5947499871253967, 0.5980833172798157, 0.620116651058197, 0.6229333281517029, 0.6517166495323181]"
6,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.3292166590690613, 0.6103333234786987, 0.6153333187103271, 0.6155333518981934, 0.6156166791915894, 0.6156166791915894, 0.6230499744415283, 0.7318500280380249, 0.7318500280380249, 0.7435333132743835, 0.7960166931152344, 0.7960166931152344, 0.7960166931152344, 0.8093666434288025, 0.8105833530426025, 0.8551499843597412, 0.8783000111579895, 0.8841500282287598, 0.9050166606903076, 0.9050166606903076]"
7,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.41644999384880066, 0.8111666440963745, 0.816016674041748, 0.8276333212852478, 0.8283666372299194, 0.8283666372299194, 0.8284000158309937, 0.8880000114440918, 0.9049166440963745, 0.9049166440963745, 0.9085666537284851, 0.9086666703224182, 0.9099833369255066, 0.9261000156402588, 0.9261000156402588, 0.9261000156402588, 0.9474166631698608, 0.9660166501998901, 0.9660166501998901, 0.9660166501998901]"
8,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.3793500065803528, 0.4624499976634979, 0.49524998664855957, 0.49524998664855957, 0.4968166649341583, 0.49810001254081726, 0.5033833384513855, 0.5161833167076111, 0.5210166573524475, 0.5632833242416382, 0.5632833242416382, 0.6226333379745483, 0.6455333232879639, 0.6455333232879639, 0.6692833304405212, 0.6692833304405212, 0.6692833304405212, 0.7015666961669922, 0.7181166410446167, 0.730733335018158]"
9,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.7437833547592163, 0.840499997138977, 0.8657166957855225, 0.8657166957855225, 0.8657166957855225, 0.8657166957855225, 0.8676333427429199, 0.8676333427429199, 0.8795833587646484, 0.8934833407402039, 0.8934833407402039, 0.9215999841690063, 0.9215999841690063, 0.9281166791915894, 0.9281166791915894, 0.946150004863739, 0.946150004863739, 0.946150004863739, 0.9501833319664001, 0.9501833319664001]"
10,10,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.1,4,"[0.522350013256073, 0.9401500225067139, 0.9401500225067139, 0.9439166784286499, 0.9520833492279053, 0.9654666781425476, 0.9656999707221985, 0.9656999707221985, 0.9789666533470154, 0.9789666533470154, 0.9789666533470154, 0.9789666533470154, 0.9789666533470154, 0.9792333245277405, 0.9793999791145325, 0.9815166592597961, 0.9815333485603333, 0.9818333387374878, 0.9894499778747559, 0.9905999898910522]"
1,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.5777666568756104, 0.5951333045959473, 0.644266664981842, 0.644266664981842, 0.6868500113487244, 0.7208166718482971, 0.8142499923706055, 0.8238666653633118, 0.8332666754722595, 0.8404666781425476, 0.8843166828155518, 0.8843166828155518, 0.9117833375930786, 0.9128833413124084, 0.913266658782959, 0.9133833050727844, 0.9133833050727844, 0.9133999943733215, 0.9138000011444092, 0.9143000245094299]"
2,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.9143000245094299, 0.9163500070571899, 0.9163500070571899, 0.9331499934196472, 0.9442499876022339, 0.9443666934967041, 0.9462500214576721, 0.9462500214576721, 0.9463333487510681, 0.9463499784469604, 0.9558666944503784, 0.966783344745636, 0.966783344745636, 0.966783344745636, 0.966783344745636, 0.9765166640281677, 0.9765166640281677, 0.9775500297546387, 0.9782333374023438, 0.9782666563987732]"
3,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.7266499996185303, 0.7768166661262512, 0.8576833605766296, 0.8963833451271057, 0.9012666940689087, 0.9027500152587891, 0.9087333083152771, 0.9127166867256165, 0.9426000118255615, 0.9426000118255615, 0.9434666633605957, 0.9436166882514954, 0.9437166452407837, 0.9437166452407837, 0.9437166452407837, 0.9452000260353088, 0.9539666771888733, 0.9599166512489319, 0.9626833200454712, 0.9634833335876465]"
4,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.9487666487693787, 0.9673666954040527, 0.9728999733924866, 0.9749666452407837, 0.9755666851997375, 0.982866644859314, 0.982866644859314, 0.982866644859314, 0.982866644859314, 0.982866644859314, 0.982866644859314, 0.9952999949455261, 0.9952999949455261, 0.9977333545684814, 0.9980000257492065, 0.9986666440963745, 0.9992666840553284, 0.9997333288192749, 0.999750018119812, 0.999750018119812]"
