run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5847499966621399, 0.6436499953269958, 0.9136999845504761, 0.9505166411399841, 0.9505166411399841, 0.9505166411399841, 0.9698166847229004, 0.9728666543960571, 0.9942333102226257, 0.9942333102226257, 0.9942333102226257, 0.9942333102226257, 0.9969333410263062, 0.9969333410263062, 0.9993833303451538, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.9997000098228455, 0.9997000098228455]"
2,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5298666954040527, 0.8562333583831787, 0.8562333583831787, 0.8562333583831787, 0.8562333583831787, 0.9593833088874817, 0.9593833088874817, 0.9593833088874817, 0.9593833088874817, 0.9654499888420105, 0.9839166402816772, 0.9852666854858398, 0.9944000244140625, 0.9955333471298218, 0.9973499774932861, 0.9973499774932861, 0.9982166886329651, 0.9986666440963745, 0.9986666440963745, 0.9993500113487244]"
3,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5240166783332825, 0.7175833582878113, 0.8472333550453186, 0.9217666387557983, 0.9217666387557983, 0.9908833503723145, 0.9908833503723145, 0.9908833503723145, 0.9957500100135803, 0.9957500100135803, 0.9994500279426575, 0.9995166659355164, 0.9996333122253418, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998833537101746, 1.0]"
4,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.7774333357810974, 0.8537833094596863, 0.9171333312988281, 0.9171333312988281, 0.9725499749183655, 0.9872833490371704, 0.9980666637420654, 0.9980666637420654, 0.9980666637420654, 0.9980666637420654, 0.9980666637420654, 0.9980666637420654, 0.9992166757583618, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9998833537101746, 0.9998833537101746, 0.9998833537101746, 0.9998833537101746]"
5,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5809000134468079, 0.75, 0.9056000113487244, 0.9163333177566528, 0.9363499879837036, 0.9876999855041504, 0.9965166449546814, 0.9965166449546814, 0.9995999932289124, 0.9998000264167786, 0.999916672706604, 0.999916672706604, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.7491999864578247, 0.8679500222206116, 0.9515500068664551, 0.9515500068664551, 0.988099992275238, 0.9963833093643188, 0.9995166659355164, 0.9995166659355164, 0.9995166659355164, 0.9995166659355164, 0.9995166659355164, 0.9999499917030334, 0.9999666810035706, 0.9999666810035706, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.664983332157135, 0.8682000041007996, 0.8682000041007996, 0.9435833096504211, 0.9859833121299744, 0.9859833121299744, 0.9900333285331726, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.999833345413208, 0.999833345413208, 0.999833345413208, 0.999916672706604, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5847499966621399, 0.6436499953269958, 0.9136999845504761, 0.9505166411399841, 0.9505166411399841, 0.9505166411399841, 0.9698166847229004, 0.9728666543960571, 0.9942333102226257, 0.9942333102226257, 0.9942333102226257, 0.9942333102226257, 0.9969333410263062, 0.9969333410263062, 0.9993833303451538, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.9997000098228455, 0.9997000098228455]"
9,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5298666954040527, 0.8562333583831787, 0.8562333583831787, 0.8562333583831787, 0.8562333583831787, 0.9593833088874817, 0.9593833088874817, 0.9593833088874817, 0.9593833088874817, 0.9654499888420105, 0.9839166402816772, 0.9852666854858398, 0.9944000244140625, 0.9955333471298218, 0.9973499774932861, 0.9973499774932861, 0.9982166886329651, 0.9986666440963745, 0.9986666440963745, 0.9993500113487244]"
10,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,2,"[0.5240166783332825, 0.7175833582878113, 0.8472333550453186, 0.9217666387557983, 0.9217666387557983, 0.9908833503723145, 0.9908833503723145, 0.9908833503723145, 0.9957500100135803, 0.9957500100135803, 0.9994500279426575, 0.9995166659355164, 0.9996333122253418, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998666644096375, 0.9998833537101746, 1.0]"
