run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.5778999924659729, 0.7321000099182129, 0.7321000099182129, 0.8361666798591614, 0.8673666715621948, 0.9168000221252441, 0.9168000221252441, 0.9906833171844482, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989333152770996, 0.9989833235740662, 0.9990000128746033]"
2,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.8273833394050598, 0.909683346748352, 0.909683346748352, 0.9801166653633118, 0.9801166653633118, 0.9801166653633118, 0.9815999865531921, 0.9874500036239624, 0.9874500036239624, 0.9918500185012817, 0.9959666728973389, 0.9997166395187378, 0.9997833371162415, 0.9997833371162415, 0.9997833371162415, 0.9997833371162415, 0.9997833371162415, 0.9997833371162415, 0.9999499917030334, 0.9999499917030334]"
3,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.7502333521842957, 0.7724499702453613, 0.8008333444595337, 0.9676166772842407, 0.9847166538238525, 0.9847166538238525, 0.9847166538238525, 0.9847166538238525, 0.9847166538238525, 0.9951000213623047, 0.9951000213623047, 0.9951000213623047, 0.9951000213623047, 0.9951000213623047, 0.9966833591461182, 0.9966833591461182, 0.99836665391922, 0.99836665391922, 0.99836665391922, 0.99836665391922]"
4,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.4012500047683716, 0.9111666679382324, 0.9111666679382324, 0.9333666563034058, 0.9801166653633118, 0.9801166653633118, 0.9801166653633118, 0.9801166653633118, 0.9801166653633118, 0.9822666645050049, 0.9822666645050049, 0.9822666645050049, 0.9905999898910522, 0.9965000152587891, 0.9965000152587891, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752]"
5,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.7394333481788635, 0.8646500110626221, 0.9647666811943054, 0.9647666811943054, 0.9647666811943054, 0.9902499914169312, 0.9902499914169312, 0.9902499914169312, 0.9931833148002625, 0.9931833148002625, 0.9931833148002625, 0.9931833148002625, 0.9956166744232178, 0.9956166744232178, 0.996483325958252, 0.9988666772842407, 0.9988666772842407, 0.9988666772842407, 0.9988666772842407, 0.9988666772842407]"
6,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.481550008058548, 0.8880500197410583, 0.9136333465576172, 0.9420166611671448, 0.9426833391189575, 0.9426833391189575, 0.9847833514213562, 0.9847833514213562, 0.9847833514213562, 0.9916666746139526, 0.9916666746139526, 0.9916666746139526, 0.9973333477973938, 0.9973333477973938, 0.9976333379745483, 0.9988666772842407, 0.9988666772842407, 0.9996166825294495, 0.9996166825294495, 0.9996166825294495]"
7,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.658050000667572, 0.8137666583061218, 0.8137666583061218, 0.9571666717529297, 0.9571666717529297, 0.9750333428382874, 0.9750333428382874, 0.9937666654586792, 0.9937666654586792, 0.995116651058197, 0.995116651058197, 0.997783362865448, 0.9992333054542542, 0.9995333552360535, 0.9995333552360535, 0.9995333552360535, 0.9997000098228455, 0.9997000098228455, 0.9997000098228455, 0.9997000098228455]"
8,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.8032000064849854, 0.9114166498184204, 0.9850333333015442, 0.9850333333015442, 0.9850333333015442, 0.9866833090782166, 0.9866833090782166, 0.9866833090782166, 0.9967833161354065, 0.9967833161354065, 0.9967833161354065, 0.9967833161354065, 0.9983500242233276, 0.9983500242233276, 0.9993166923522949, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812]"
9,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.7664499878883362, 0.7664499878883362, 0.7664499878883362, 0.7710666656494141, 0.845466673374176, 0.9015833139419556, 0.9015833139419556, 0.9301000237464905, 0.9477333426475525, 0.9621000289916992, 0.968583345413208, 0.968583345413208, 0.9983833432197571, 0.9983833432197571, 0.9983833432197571, 0.9993166923522949, 0.9993166923522949, 0.9993166923522949, 0.9993333220481873, 0.9993333220481873]"
10,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.3,,"[0.8652499914169312, 0.8652499914169312, 0.8956999778747559, 0.909166693687439, 0.9755333065986633, 0.9755333065986633, 0.9755333065986633, 0.9755333065986633, 0.9755333065986633, 0.9842666387557983, 0.9842666387557983, 0.9858666658401489, 0.9901666641235352, 0.9974166750907898, 0.9976166486740112, 0.9976166486740112, 0.9976166486740112, 0.9994166493415833, 0.9997166395187378, 0.9997166395187378]"
1,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.899733304977417, 0.9572833180427551, 0.9572833180427551, 0.9572833180427551, 0.9681166410446167, 0.9689833521842957, 0.9989500045776367, 0.9989500045776367, 0.9989500045776367, 0.9989500045776367, 0.9989500045776367, 0.9989500045776367, 0.9989500045776367, 0.9995499849319458, 0.9998666644096375, 0.9998666644096375, 0.9999666810035706, 0.9999666810035706, 0.9999666810035706, 0.9999666810035706]"
2,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.6930500268936157, 0.9483333230018616, 0.9483333230018616, 0.972083330154419, 0.9918000102043152, 0.9931666851043701, 0.9973000288009644, 0.9973000288009644, 0.9973000288009644, 0.9973000288009644, 0.9973000288009644, 0.998116672039032, 0.998116672039032, 0.998116672039032, 0.998116672039032, 0.9993666410446167, 0.9998666644096375, 0.999916672706604, 0.999916672706604, 0.999916672706604]"
3,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.6800166964530945, 0.8571666479110718, 0.978600025177002, 0.978600025177002, 0.9889333248138428, 0.9889333248138428, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9939333200454712, 0.9954833388328552, 0.9954833388328552, 0.9986166954040527, 0.9986166954040527]"
4,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.8499000072479248, 0.8499000072479248, 0.8499000072479248, 0.8996666669845581, 0.939216673374176, 0.9726666808128357, 0.989633321762085, 0.989633321762085, 0.989633321762085, 0.989633321762085, 0.989633321762085, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298, 0.9953666925430298]"
5,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.8101000189781189, 0.9695500135421753, 0.981333315372467, 0.981333315372467, 0.9952166676521301, 0.9958000183105469, 0.9993500113487244, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.9995499849319458, 0.999833345413208, 0.999833345413208, 0.999833345413208, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629]"
6,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.8368833065032959, 0.88919997215271, 0.88919997215271, 0.973966658115387, 0.973966658115387, 0.9867333173751831, 0.9867333173751831, 0.9867333173751831, 0.9867333173751831, 0.9911500215530396, 0.9981666803359985, 0.9994333386421204, 0.9994333386421204, 0.9994333386421204, 0.9997833371162415, 0.9997833371162415, 0.9997833371162415, 0.9998166561126709, 0.9998166561126709, 0.9998166561126709]"
7,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.6223999857902527, 0.8341333270072937, 0.8836833238601685, 0.8836833238601685, 0.8836833238601685, 0.9866166710853577, 0.9975166916847229, 0.9975166916847229, 0.9975166916847229, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.9995833039283752, 0.999916672706604, 0.999916672706604]"
8,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.778083324432373, 0.902400016784668, 0.9261500239372253, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.997083306312561, 0.9987666606903076, 0.9987666606903076, 0.9998999834060669, 0.9998999834060669, 0.9998999834060669, 0.9998999834060669, 0.9998999834060669, 0.9999833106994629, 0.9999833106994629]"
9,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.4340333342552185, 0.9031166434288025, 0.9464166760444641, 0.9523500204086304, 0.9523500204086304, 0.9929333329200745, 0.9929333329200745, 0.9929333329200745, 0.9950500130653381, 0.9950500130653381, 0.9950500130653381, 0.9950500130653381, 0.9950500130653381, 0.9950500130653381, 0.9957500100135803, 0.9975166916847229, 0.9975166916847229, 0.9975166916847229, 0.9975166916847229, 0.9975166916847229]"
10,10,20,20,fps,uniform_crossover,inversion_mutation,0.9,0.1,,"[0.7514166831970215, 0.7947999835014343, 0.9659500122070312, 0.9659500122070312, 0.9746000170707703, 0.9746000170707703, 0.9746000170707703, 0.9962666630744934, 0.9962666630744934, 0.9962666630744934, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812, 0.999750018119812]"
1,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.45971667766571045, 0.45971667766571045, 0.8575166463851929, 0.8575166463851929, 0.8626166582107544, 0.8743166923522949, 0.8796499967575073, 0.9423166513442993, 0.9829666614532471, 0.9829666614532471, 0.9829666614532471, 0.9830499887466431, 0.9830499887466431, 0.9843000173568726, 0.9931833148002625, 0.9958500266075134, 0.9988499879837036, 0.9988499879837036, 0.9988499879837036, 0.9994000196456909]"
2,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.9026833176612854, 0.9026833176612854, 0.9026833176612854, 0.9026833176612854, 0.9230833053588867, 0.926966667175293, 0.955216646194458, 0.9620166420936584, 0.9866166710853577, 0.9866166710853577, 0.9968833327293396, 0.9968833327293396, 0.9968833327293396, 0.9987999796867371, 0.9987999796867371, 0.9987999796867371, 0.9989833235740662, 0.9989833235740662, 0.9989833235740662, 0.9989833235740662]"
